date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:38:39	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/MajorMinor_CO.txt	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/MajorMinor_CO.txt	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:40	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/Cities_CO.txt	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/Cities_CO.txt	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:40	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/Traits_CO.txt	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/Traits_CO.txt	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:40	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/EpilogueValues_CO.txt	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/EpilogueValues_CO.txt	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:41	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/RetroBowlHOF.txt	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/RetroBowlHOF.txt	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:42	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/RetroBowl_History.txt	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/RetroBowl_History.txt	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:42	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/Schedule17.txt	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/Schedule17.txt	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:42	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/Schedule_CO.txt	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/Schedule_CO.txt	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:47	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/Colleges.txt	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/Colleges.txt	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:48	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/Charities.txt	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/Charities.txt	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:48	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/Names_F1.txt	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/Names_F1.txt	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:48	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/Names_L.txt	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/Names_L.txt	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:52	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/GET	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/GET	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:53	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/trident/	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/trident/index.html	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:53	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/AcroPDF.PDF	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/AcroPDF.PDF	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:53	162/162	---M--	403	error ('Forbidden')	text/html	date:Sun,%2011%20Dec%202022%2003:38:53%20GMT	https://game316009.konggames.com/gamez/0031/6009/live/html5game/	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/html5game/index.html	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
21:38:53	182/182	---M--	404	error ('Not%20Found')	text/html	etag:%22639482b0-b6%22	https://game316009.konggames.com/gamez/0031/6009/live/HEAD	C:/Users/Gabri/Desktop/sadf/website%20downloads/retrobowl/game316009.konggames.com/gamez/0031/6009/live/HEAD.1d.delayed	(from https://game316009.konggames.com/gamez/0031/6009/live/html5game/RetroBowl.js?WAEAC=1633155445)
